1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
3033,NY,New York,22,H8NY24066,(I),Richard L.,Hanna,"Hanna, Richard L.",,R/IDP Combined Parties,,,,,,,,,"157,941",60.55%,W,,
3034,NY,New York,22,H8NY24066,(I),Richard L.,Hanna,"Hanna, Richard L.",,IDP,Unopposed,,,,"12,899",4.94%,,,"157,941",60.55%,,,
3035,NY,New York,22,H8NY24066,(I),Richard L.,Hanna,"Hanna, Richard L.",,R,"10,627",71.13%,,,"145,042",55.60%,,,"157,941",60.55%,,,
3036,NY,New York,22,H2NY22154,,"Michael J., Sr.",Kicinski,"Kicinski, Michael J., Sr.",,R,"4,314",28.87%,,,,,,,,,,,
3037,NY,New York,22,n/a,,,,,Party Votes:,R,"14,941",,,,,,,,,,,,
3038,NY,New York,22,H2NY22147,,Dan,Lamb,"Lamb, Dan",,D,Unopposed,,,,"102,080",39.13%,,,,,,,
3039,NY,New York,22,n/a,,,Scattered,Scattered,,W,,,,,842,0.32%,,,,,,,
3040,NY,New York,22,n/a,,,,,District Votes:,,"14,941",,,,"260,863",,,,,,,,
3041,NY,New York,,n/a,,,,DISTRICT 23,,,,,,,,,,,,,,,
3042,NY,New York,23,H0NY29054,(I),"Thomas W., II",Reed,"Reed, Thomas W., II",,R/CRV/IDP Combined Parties,,,,,,,,,"137,669",51.90%,W,,
3043,NY,New York,23,H0NY29054,(I),"Thomas W., II",Reed,"Reed, Thomas W., II",,R,Unopposed,,,,"117,641",44.35%,,,"137,669",51.90%,,,
3044,NY,New York,23,H0NY29054,(I),"Thomas W., II",Reed,"Reed, Thomas W., II",,CRV,Unopposed,,,,"14,273",5.38%,,,"137,669",51.90%,,,
3045,NY,New York,23,H0NY29054,(I),"Thomas W., II",Reed,"Reed, Thomas W., II",,IDP,Unopposed,,,,"5,755",2.17%,,,"137,669",51.90%,,,
3046,NY,New York,23,H2NY22113,,Nate,Shinagawa,"Shinagawa, Nate",,D/WF Combined Parties,,,,,,,,,"127,535",48.08%,,,
3047,NY,New York,23,H2NY22113,,Nate,Shinagawa,"Shinagawa, Nate",,WF,Unopposed,,,,"12,945",4.88%,,,"127,535",48.08%,,,
3048,NY,New York,23,H2NY22113,,Nate,Shinagawa,"Shinagawa, Nate",,D,"6,162",53.86%,,,"114,590",43.20%,,,"127,535",48.08%,,,
3049,NY,New York,23,H2NY22121,,Leslie Danks,Burke,"Burke, Leslie Danks",,D,"4,246",37.11%,,,,,,,,,,,
3050,NY,New York,23,H2NY23103,,Melissa K.,Dobson,"Dobson, Melissa K.",,D,"1,033",9.03%,,,,,,,,,,,
3051,NY,New York,23,n/a,,,,,Party Votes:,D,"11,441",,,,,,,,,,,,
3052,NY,New York,23,n/a,,,Scattered,Scattered,,W,,,,,78,0.03%,,,,,,,
3053,NY,New York,23,n/a,,,,,District Votes:,,"11,441",,,,"265,282",,,,,,,,
3054,NY,New York,,n/a,,,,DISTRICT 24,,,,,,,,,,,,,,,
3055,NY,New York,24,H6NY25125,,Daniel B.,Maffei,"Maffei, Daniel B.",,D/WF Combined Parties,,,,,,,,,"143,044",48.82%,W,,
3056,NY,New York,24,H6NY25125,,Daniel B.,Maffei,"Maffei, Daniel B.",,D,Unopposed,,,,"133,908",45.70%,,,"143,044",48.82%,,,
3057,NY,New York,24,H6NY25125,,Daniel B.,Maffei,"Maffei, Daniel B.",,WF,Unopposed,,,,"9,136",3.12%,,,"143,044",48.82%,,,
3058,NY,New York,24,H0NY25078,(I),Ann Marie,Buerkle,"Buerkle, Ann Marie",,R/CRV/IDP Combined Parties,,,,,,,,,"127,054",43.36%,,,
3059,NY,New York,24,H0NY25078,(I),Ann Marie,Buerkle,"Buerkle, Ann Marie",,R,Unopposed,,,,"105,584",36.04%,,,"127,054",43.36%,,,
3060,NY,New York,24,H0NY25078,(I),Ann Marie,Buerkle,"Buerkle, Ann Marie",,CRV,Unopposed,,,,"16,481",5.63%,,,"127,054",43.36%,,,
3061,NY,New York,24,H0NY25078,(I),Ann Marie,Buerkle,"Buerkle, Ann Marie",,IDP,Unopposed,,,,"4,989",1.70%,,,"127,054",43.36%,,,
3062,NY,New York,24,H2NY24119,,Ursula E.,Rozum,"Rozum, Ursula E.",,GRE,Unopposed,,,,"22,670",7.74%,,,,,,,
3063,NY,New York,24,n/a,,,Scattered,Scattered,,W,,,,,220,0.08%,,,,,,,
3064,NY,New York,24,n/a,,,,,District Votes:,,,,,,"292,988",,,,,,,,
3065,NY,New York,,n/a,,,,DISTRICT 25,,,,,,,,,,,,,,,
3066,NY,New York,25,H6NY03031,(I),Louise M.,Slaughter,"Slaughter, Louise M.",,D/WF Combined Parties,,,,,,,,,"179,810",57.36%,W,,
3067,NY,New York,25,H6NY03031,(I),Louise M.,Slaughter,"Slaughter, Louise M.",,D,Unopposed,,,,"168,761",53.84%,,,"179,810",57.36%,,,
3068,NY,New York,25,H6NY03031,(I),Louise M.,Slaughter,"Slaughter, Louise M.",,WF,Unopposed,,,,"11,049",3.52%,,,"179,810",57.36%,,,
3069,NY,New York,25,H2NY25074,,Maggie,Brooks,"Brooks, Maggie",,R/CRV/IDP Combined Parties,,,,,,,,,"133,389",42.55%,,,
3070,NY,New York,25,H2NY25074,,Maggie,Brooks,"Brooks, Maggie",,R,Unopposed,,,,"109,292",34.87%,,,"133,389",42.55%,,,
3071,NY,New York,25,H2NY25074,,Maggie,Brooks,"Brooks, Maggie",,CRV,Unopposed,,,,"18,543",5.92%,,,"133,389",42.55%,,,
3072,NY,New York,25,H2NY25074,,Maggie,Brooks,"Brooks, Maggie",,IDP,Unopposed,,,,"5,554",1.77%,,,"133,389",42.55%,,,
3073,NY,New York,25,n/a,,,Scattered,Scattered,,W,,,,,253,0.08%,,,,,,,
3074,NY,New York,25,n/a,,,,,District Votes:,,,,,,"313,452",,,,,,,,
3075,NY,New York,,n/a,,,,DISTRICT 26,,,,,,,,,,,,,,,
3076,NY,New York,26,H4NY27076,(I),Brian,Higgins,"Higgins, Brian",,D/WF Combined Parties,,,,,,,,,"212,588",74.78%,W,,
3077,NY,New York,26,H4NY27076,(I),Brian,Higgins,"Higgins, Brian",,D,Unopposed,,,,"195,234",68.68%,,,"212,588",74.78%,,,
3078,NY,New York,26,H4NY27076,(I),Brian,Higgins,"Higgins, Brian",,WF,Unopposed,,,,"17,354",6.10%,,,"212,588",74.78%,,,
3079,NY,New York,26,H2NY26171,,Michael H.,Madigan,"Madigan, Michael H.",,R/CRV/IDP Combined Parties,,,,,,,,,"71,666",25.21%,,,
3080,NY,New York,26,H2NY26171,,Michael H.,Madigan,"Madigan, Michael H.",,R,Unopposed,,,,"57,368",20.18%,,,"71,666",25.21%,,,
3081,NY,New York,26,H2NY26171,,Michael H.,Madigan,"Madigan, Michael H.",,CRV,Unopposed,,,,"10,243",3.60%,,,"71,666",25.21%,,,
3082,NY,New York,26,H2NY26171,,Michael H.,Madigan,"Madigan, Michael H.",,IDP,Unopposed,,,,"4,055",1.43%,,,"71,666",25.21%,,,
3083,NY,New York,26,n/a,,,Scattered,Scattered,,W,,,,,17,0.01%,,,,,,,
3084,NY,New York,26,n/a,,,,,District Votes:,,,,,,"284,271",,,,,,,,
3085,NY,New York,,n/a,,,,DISTRICT 27,,,,,,,,,,,,,,,
3086,NY,New York,27,H8NY29032,,Chris,Collins,"Collins, Chris",,R/CRV Combined Parties,,,,,,,,,"161,220",50.77%,W,,
3087,NY,New York,27,H8NY29032,,Chris,Collins,"Collins, Chris",,CRV,Unopposed,,,,"23,970",7.55%,,,"161,220",50.77%,,,
3088,NY,New York,27,H8NY29032,,Chris,Collins,"Collins, Chris",,R,"11,677",59.86%,,,"137,250",43.22%,,,"161,220",50.77%,,,
3089,NY,New York,27,H8NY26087,,David G.,Bellavia,"Bellavia, David G.",,R,"7,830",40.14%,,,,,,,,,,,
3090,NY,New York,27,n/a,,,,,Party Votes:,R,"19,507",,,,,,,,,,,,
3091,NY,New York,27,H2NY00036,(I),Kathy C.,Hochul,"Hochul, Kathy C.",,D/WF Combined Parties,,,,,,,,,"156,219",49.20%,,,
3092,NY,New York,27,H2NY00036,(I),Kathy C.,Hochul,"Hochul, Kathy C.",,D,Unopposed,,,,"140,008",44.09%,,,"156,219",49.20%,,,
3093,NY,New York,27,H2NY00036,(I),Kathy C.,Hochul,"Hochul, Kathy C.",,WF,Unopposed,,,,"16,211",5.11%,,,"156,219",49.20%,,,
3094,NY,New York,27,n/a,,,Scattered,Scattered,,W,,,,,95,0.03%,,,,,,,
3095,NY,New York,27,n/a,,,,,District Votes:,,"19,507",,,,"317,534",,,,,,,,
3096,NY,New York,,n/a,,,,,,,,,,,,,,,,,,,
3097,NY,New York,H,n/a,,,,,Total State Votes:,,"299,930",,,,"6,469,725",,,,,,,,
3098,NY,New York,,n/a,,,,,,,,,,,,,,,,,,,
3099,NY,New York,S,S0NY00410,(I),Kirsten E.,Gillibrand,"Gillibrand, Kirsten E.",,D/WF/IDP Combined Parties,,,,,"4,822,330",72.19%,,,"4,822,330",72.19%,W,,
3100,NY,New York,S,S0NY00410,(I),Kirsten E.,Gillibrand,"Gillibrand, Kirsten E.",,D,Unopposed,,,,"4,432,525",66.36%,,,"4,822,330",72.19%,,,
3101,NY,New York,S,S0NY00410,(I),Kirsten E.,Gillibrand,"Gillibrand, Kirsten E.",,WF,Unopposed,,,,"251,292",3.76%,,,"4,822,330",72.19%,,,
3102,NY,New York,S,S0NY00410,(I),Kirsten E.,Gillibrand,"Gillibrand, Kirsten E.",,IDP,Unopposed,,,,"138,513",2.07%,,,"4,822,330",72.19%,,,
3103,NY,New York,S,S2NY00259,,Wendy,Long,"Long, Wendy",,R/CRV Combined Parties,,,,,"1,758,702",26.33%,,,"1,758,702",26.33%,,,
3104,NY,New York,S,S2NY00259,,Wendy,Long,"Long, Wendy",,CRV,Unopposed,,,,"241,124",3.61%,,,"1,758,702",26.33%,,,
3105,NY,New York,S,S2NY00259,,Wendy,Long,"Long, Wendy",,R,"75,924",50.24%,,,"1,517,578",22.72%,,,"1,758,702",26.33%,,,
3106,NY,New York,S,S2NY00283,,Bob,Turner,"Turner, Bob",,R,"54,196",35.86%,,,,,,,,,,,
3107,NY,New York,S,S0NY00600,,George,Maragos,"Maragos, George",,R,"21,002",13.90%,,,,,,,,,,,
3108,NY,New York,S,n/a,,,,,Party Votes:,R,"151,122",,,,,,,,,,,,
3109,NY,New York,S,S0NY00626,,Colia,Clark,"Clark, Colia",,GRE,Unopposed,,,,"42,591",0.64%,,,,,,,
3110,NY,New York,S,S2NY00309,,Chris,Edes,"Edes, Chris",,LIB, ,,,,"32,002",0.48%,,,,,,,
3111,NY,New York,S,S2NY00275,,John,Mangelli,"Mangelli, John",,CSP, ,,,,"22,041",0.33%,,,,,,,
3112,NY,New York,S,n/a,,,Scattered,Scattered,,W,,,,,"2,012",0.03%,,,,,,,
3113,NY,New York,S,n/a,,,,,Total State Votes:,,"151,122",,,,"6,679,678",,,,,,,,
3114,,,,n/a,,,,,,,,,,,,,,,,,,,
3115,NC,North Carolina,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,,
3116,NC,North Carolina,01,H4NC01046,(I),G. K .,Butterfield,"Butterfield, G. K .",,D,"89,531",81.13%,,,"254,644",75.32%,,,,,W,,
3117,NC,North Carolina,01,H2NC01206 ,,Dan,Whittacre,"Whittacre, Dan",,D,"20,822",18.87%,,,,,,,,,,,
3118,NC,North Carolina,01,n/a,,,,,Party Votes:,D,"110,353",,,,,,,,,,,,
3119,NC,North Carolina,01,H2NC01198,,Pete,DiLauro,"DiLauro, Pete",,R,Unopposed,,,,"77,288",22.86%,,,,,,,
3120,NC,North Carolina,01,H0NC03107,,Darryl ,Holloman,"Holloman, Darryl ",,LIB,Unopposed,,,,"6,134",1.81%,,,,,,,
3121,NC,North Carolina,01,n/a,,,,,District Votes:,,"110,353",,,,"338,066",,,,,,,,
3122,NC,North Carolina,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,,
3123,NC,North Carolina,02,H0NC02059,(I),Renee,Ellmers,"Ellmers, Renee",,R,"37,661",55.98%,,,"174,066",55.90%,,,,,W,,
3124,NC,North Carolina,02,H2NC02188,,Richard,Speer,"Speer, Richard",,R,"20,099",29.87%,,,,,,,,,,,
3125,NC,North Carolina,02,H2NC02196,,Sonya,Holmes,"Holmes, Sonya",,R,"6,535",9.71%,,,,,,,,,,,
3126,NC,North Carolina,02,H2NC02162,,Clement F.,Munno,"Munno, Clement F.",,R,"2,982",4.43%,,,,,,,,,,,
3127,NC,North Carolina,02,n/a,,,,,Party Votes:,R,"67,277",,,,,,,,,,,,
3128,NC,North Carolina,02,H2NC02170,,Steve,Wilkins,"Wilkins, Steve",,D,"24,327",50.69%,,,"128,973",41.42%,,,,,,,
3129,NC,North Carolina,02,H2NC00018,,Toni,Morris,"Morris, Toni",,D,"20,431",42.57%,,,,,,,,,,,
3130,NC,North Carolina,02,H2NC02212 ,,Jim,Bibbs,"Bibbs, Jim",,D,"3,238",6.75%,,,,,,,,,,,
3131,NC,North Carolina,02,n/a,,,,,Party Votes:,D,"47,996",,,,,,,,,,,,
3132,NC,North Carolina,02,H2NC02204,,Brian,Irving,"Irving, Brian",,LIB,Unopposed,,,,"8,358",2.68%,,,,,,,
3133,NC,North Carolina,02,n/a,,,,,District Votes:,,"115,273",,,,"311,397",,,,,,,,
3134,NC,North Carolina,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,,
3135,NC,North Carolina,03,H2NC01081,(I),Walter B.,Jones,"Jones, Walter B.",,R,"42,644",68.99%,,,"195,571",63.11%,,,,,W,,
3136,NC,North Carolina,03,H2NC03079,,Frank ,Palombo,"Palombo, Frank ",,R,"19,166",31.01%,,,,,,,,,,,
3137,NC,North Carolina,03,n/a,,,,,Party Votes:,R,"61,810",,,,,,,,,,,,
3138,NC,North Carolina,03,H2NC03087,,Erik,Anderson,"Anderson, Erik",,D,Unopposed,,,,"114,314",36.89%,,,,,,,
3139,NC,North Carolina,03,n/a,,,,,District Votes:,,"61,810",,,,"309,885",,,,,,,,
3140,NC,North Carolina,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,,
3141,NC,North Carolina,04,H6NC04037,(I),David,Price,"Price, David",,D,Unopposed,,,,"259,534",74.47%,,,,,W,,
3142,NC,North Carolina,04,H0NC08163,,Tim,D'Annunzio,"D'Annunzio, Tim",,R,"14,065",46.41%,,,"88,951",25.53%,,,,,,,
3143,NC,North Carolina,04,H2NC04093,,Jim,Allen,"Allen, Jim",,R,"10,430",34.42%,,,,,,,,,,,
3144,NC,North Carolina,04,H0NC04139,,George Frank,Hutchins,"Hutchins, George Frank",,R,"5,811",19.17%,,,,,,,,,,,
3145,NC,North Carolina,04,n/a,,,,,Party Votes:,R,"30,306",,,,,,,,,,,,
3146,NC,North Carolina,04,n/a,,,,,District Votes:,,"30,306",,,,"348,485",,,,,,,,
3147,NC,North Carolina,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,,
3148,NC,North Carolina,05,H4NC05146,(I),Virginia ,Foxx,"Foxx, Virginia ",,R  ,Unopposed,,,,"200,945",57.54%,,,,,W,,
3149,NC,North Carolina,05,H2NC05132,,Elisabeth,Motsinger,"Motsinger, Elisabeth",,D,"38,512",69.73%,,,"148,252",42.46%,,,,,,,
3150,NC,North Carolina,05,H2NC05140 ,,Bruce G.,Peller,"Peller, Bruce G.",,D,"16,716",30.27%,,,,,,,,,,,
3151,NC,North Carolina,05,n/a,,,,,Party Votes:,D,"55,228",,,,,,,,,,,,
3152,NC,North Carolina,05,n/a,,,,,District Votes:,,"55,228",,,,"349,197",,,,,,,,
3153,NC,North Carolina,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,,
3154,NC,North Carolina,06,H4NC06011,(I),Howard,Coble,"Coble, Howard",,R,"50,701",57.29%,,,"222,116",60.92%,,,,,W,,
3155,NC,North Carolina,06,H2NC06064,,Bill,Flynn,"Flynn, Bill",,R  ,"19,741",22.31%,,,,,,,,,,,
3156,NC,North Carolina,06,H0NC06142,,Billy,Yow,"Yow, Billy",,R,"18,057",20.40%,,,,,,,,,,,
3157,NC,North Carolina,06,n/a,,,,,Party Votes:,R,"88,499",,,,,,,,,,,,
3158,NC,North Carolina,06,H2NC06072,,Tony,Foriest,"Foriest, Tony",,D  ,Unopposed,,,,"142,467",39.08%,,,,,,,
3159,NC,North Carolina,06,n/a,,,,,District Votes:,,"88,499",,,,"364,583",,,,,,,,
3160,NC,North Carolina,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,,
3161,NC,North Carolina,07,H8NC07044,(I),Mike ,McIntyre,"McIntyre, Mike ",,D  ,Unopposed,,,,"168,695",50.10%,,,,,W,,
3162,NC,North Carolina,07,H2NC07096,,David ,Rouzer,"Rouzer, David ",,R,"34,647",48.52%,,,"168,041",49.90%,,,,,,,
3163,NC,North Carolina,07,H0NC07108,,Ilario Gregory,Pantano,"Pantano, Ilario Gregory",,R  ,"31,752",44.46%,,,,,,,,,,,
3164,NC,North Carolina,07,H8NC07051,,Randy,Crow,"Crow, Randy",,R,"5,012",7.02%,,,,,,,,,,,
3165,NC,North Carolina,07,n/a,,,,,Party Votes:,R,"71,411",,,,,,,,,,,,
3166,NC,North Carolina,07,n/a,,,,,District Votes:,,"71,411",,,,"336,736",,,,,,,,
3167,NC,North Carolina,,n/a,,,,DISTRICT 8,,,,,,,,,,,,,,,
3168,NC,North Carolina,08,H2NC08185,,Richard ,Hudson,"Hudson, Richard ",,R  ,"21,451",32.07%,"10,699",63.62%,"160,695",53.16%,,,,,W,,
3169,NC,North Carolina,08,H0NC10151,,Scott,Keadle,"Keadle, Scott",,R,"14,687",21.96%,"6,118",36.38%,,,,,,,,,
3170,NC,North Carolina,08,H4NC05138,,Vernon ,Robinson,"Robinson, Vernon ",,R,"12,181",18.21%,,,,,,,,,,,
3171,NC,North Carolina,08,H2NC08193,,"Fred F., II ",Steen,"Steen, Fred F., II ",,R,"9,670",14.46%,,,,,,,,,,,
3172,NC,North Carolina,08,H2NC08177,,John M.,Whitley,"Whitley, John M.",,R,"8,894",13.30%,,,,,,,,,,,
3173,NC,North Carolina,08,n/a,,,,,Party Votes:,R,"66,883",,"16,817",,,,,,,,,,
3174,NC,North Carolina,08,H6NC08111,(I),Larry ,Kissell,"Kissell, Larry ",,D  ,"45,987",72.56%,,,"137,139",45.37%,,,,,,,
3175,NC,North Carolina,08,H2NC08201,,Marcus W.,Williams,"Williams, Marcus W.",,D,"17,393",27.44%,,,,,,,,,,,
3176,NC,North Carolina,08,n/a,,,,,Party Votes:,D,"63,380",,,,,,,,,,,,
3177,NC,North Carolina,08,H2NC08219,,Antonio,Blue,"Blue, Antonio",,W,,,,,"3,990",1.32%,,,,,,,
3178,NC,North Carolina,08,n/a,,,Scattered,Scattered,,W,,,,,456,0.15%,,,,,,,
3179,NC,North Carolina,08,n/a,,,,,District Votes:,,"130,263",,"16,817",,"302,280",,,,,,,,
3180,NC,North Carolina,,n/a,,,,DISTRICT 9,,,,,,,,,,,,,,,
3181,NC,North Carolina,09,H2NC09134,,Robert ,Pittenger,"Pittenger, Robert ",,R,"29,999",32.45%,"18,982",52.90%,"194,537",51.78%,,,,,W,,
3182,NC,North Carolina,09,H2NC09092,,Jim,Pendergraph,"Pendergraph, Jim",,R,"23,401",25.31%,"16,902",47.10%,,,,,,,,,
3183,NC,North Carolina,09,H2NC09118,,"Edwin B., III",Peacock,"Peacock, Edwin B., III",,R,"11,336",12.26%,,,,,,,,,,,
3184,NC,North Carolina,09,H2NC09100,,Ric ,Killian,"Killian, Ric ",,R,"9,691",10.48%,,,,,,,,,,,
3185,NC,North Carolina,09,H2NC08169,,Dan,Barry,"Barry, Dan",,R,"5,515",5.97%,,,,,,,,,,,
3186,NC,North Carolina,09,H2NC09126,,Andy,Dulin,"Dulin, Andy",,R  ,"4,526",4.90%,,,,,,,,,,,
3187,NC,North Carolina,09,H2NC09050,,Mike,Steinberg,"Steinberg, Mike",,R,"2,297",2.48%,,,,,,,,,,,
3188,NC,North Carolina,09,H2NC09084,,Jon,Gauthier,"Gauthier, Jon",,R,"2,056",2.22%,,,,,,,,,,,
3189,NC,North Carolina,09,H2NC09142,,Ken,Leonczyk,"Leonczyk, Ken",,R,"2,047",2.21%,,,,,,,,,,,
3190,NC,North Carolina,09,H2NC09159 ,,Richard,Lynch,"Lynch, Richard",,R,"1,000",1.08%,,,,,,,,,,,
3191,NC,North Carolina,09,H2NC09068,,Michael,Shaffer,"Shaffer, Michael",,R,579,0.63%,,,,,,,,,,,
3192,NC,North Carolina,09,n/a,,,,,Party Votes:,R,"92,447",,"35,884",,,,,,,,,,
3193,NC,North Carolina,09,H2NC09076,,Jennifer,Roberts,"Roberts, Jennifer",,D  ,Unopposed,,,,"171,503",45.65%,,,,,,,
3194,NC,North Carolina,09,H2NC09167 ,,Curtis ,Campbell,"Campbell, Curtis ",,LIB,Unopposed,,,,"9,650",2.57%,,,,,,,
3195,NC,North Carolina,09,n/a,,,,,District Votes:,,"92,447",,"35,884",,"375,690",,,,,,,,
3196,NC,North Carolina,,n/a,,,,DISTRICT 10,,,,,,,,,,,,,,,
3197,NC,North Carolina,10,H4NC10047,(I),Patrick ,McHenry,"McHenry, Patrick ",,R,"58,844",72.54%,,,"190,826",56.99%,,,,,W,,
3198,NC,North Carolina,10,H2NC10074,,Ken H. ,Fortenberry,"Fortenberry, Ken H. ",,R  ,"15,936",19.65%,,,,,,,,,,,
3199,NC,North Carolina,10,H2NC10108 ,,Don,Peterson,"Peterson, Don",,R,"6,337",7.81%,,,,,,,,,,,
3200,NC,North Carolina,10,n/a,,,,,Party Votes:,R,"81,117",,,,,,,,,,,,
3201,NC,North Carolina,10,H4NC11052,,Patsy,Keever,"Keever, Patsy",,D  ,"36,791",57.88%,,,"144,023",43.01%,,,,,,,
3202,NC,North Carolina,10,H2NC10090,,Terry Michelle,Bellamy,"Bellamy, Terry Michelle",,D  ,"16,865",26.53%,,,,,,,,,,,
3203,NC,North Carolina,10,H2NC10082,,Timothy,Murphy,"Murphy, Timothy",,D  ,"9,908",15.59%,,,,,,,,,,,
3204,NC,North Carolina,10,n/a,,,,,Party Votes:,D  ,"63,564",,,,,,,,,,,,
3205,NC,North Carolina,10,n/a,,,,,District Votes:,,"144,681",,,,"334,849",,,,,,,,
3206,NC,North Carolina,,n/a,,,,DISTRICT 11,,,,,,,,,,,,,,,
3207,NC,North Carolina,11,H2NC11080,,Mark,Meadows,"Meadows, Mark",,R,"35,733",37.83%,"17,520",76.20%,"190,319",57.42%,,,,,W,,
3208,NC,North Carolina,11,H0NC10169,,Vance,Patterson,"Patterson, Vance",,R,"22,306",23.61%,"5,471",23.80%,,,,,,,,,
3209,NC,North Carolina,11,H2NC11072,,Jeff,Hunt,"Hunt, Jeff",,R,"13,353",14.14%,,,,,,,,,,,
3210,NC,North Carolina,11,H2NC11098,,Ethan ,Wingfield,"Wingfield, Ethan ",,R,"10,697",11.32%,,,,,,,,,,,
3211,NC,North Carolina,11,H2NC11122,,Susan,Harris,"Harris, Susan",,R  ,"5,825",6.17%,,,,,,,,,,,
3212,NC,North Carolina,11,H0NC10169,,Kenny,West,"West, Kenny",,R,"3,970",4.20%,,,,,,,,,,,
3213,NC,North Carolina,11,H8NC11061,,Spence ,Campbell,"Campbell, Spence ",,R,"1,799",1.90%,,,,,,,,,,,
3214,NC,North Carolina,11,H2NC11106,,Chris,Petrella,"Petrella, Chris",,R,778,0.82%,,,,,,,,,,,
3215,NC,North Carolina,11,n/a,,,,,Party Votes:,R,"94,461",,"22,991",,,,,,,,,,
3216,NC,North Carolina,11,H2NC11114,,Hayden ,Rogers,"Rogers, Hayden ",,D,"35,518",55.73%,,,"141,107",42.58%,,,,,,,
3217,NC,North Carolina,11,H2NC11064,,Cecil,Bothwell,"Bothwell, Cecil",,D,"19,161",30.07%,,,,,,,,,,,
3218,NC,North Carolina,11,H0NC08221,,Tom,Hill,"Hill, Tom",,D  ,"9,049",14.20%,,,,,,,,,,,
3219,NC,North Carolina,11,n/a,,,,,Party Votes:,D,"63,728",,,,,,,,,,,,
3220,NC,North Carolina,11,n/a,,,,,District Votes:,,"158,189",,"22,991",,"331,426",,,,,,,,
3221,NC,North Carolina,,n/a,,,,DISTRICT 12,,,,,,,,,,,,,,,
3222,NC,North Carolina,12,H2NC12021,(I),Mel,Watt,"Watt, Mel",,D,"52,968",80.91%,,,"247,591",79.63%,,,,,W,,
3223,NC,North Carolina,12,H2NC12074,,Matt,Newton,"Newton, Matt",,D  ,"12,495",19.09%,,,,,,,,,,,
3224,NC,North Carolina,12,n/a,,,,,Party Votes:,D,"65,463",,,,,,,,,,,,
3225,NC,North Carolina,12,H2NC12179,,Jack ,Brosch,"Brosch, Jack ",,R,Unopposed,,,,"63,317",20.37%,,,,,,,
3226,NC,North Carolina,12,n/a,,,,,District Votes:,R,"65,463",,,,"310,908",,,,,,,,
3227,NC,North Carolina,,n/a,,,,DISTRICT 13,,,,,,,,,,,,,,,
3228,NC,North Carolina,13,H2NC13110,,George ,Holding,"Holding, George ",,R  ,"37,341",43.51%,,,"210,495",56.80%,,,,,W,,
3229,NC,North Carolina,13,H2NC13128,,Paul Y.,Coble,"Coble, Paul Y.",,R,"29,354",34.21%,,,,,,,,,,,
3230,NC,North Carolina,13,H0NC13015,,Bill,Randall,"Randall, Bill",,R,"19,119",22.28%,,,,,,,,,,,
3231,NC,North Carolina,13,n/a,,,,,Party Votes:,R,"85,814",,,,,,,,,,,,
3232,NC,North Carolina,13,H2NC13144,,Charles ,Malone,"Malone, Charles ",,D,"45,865",66.89%,,,"160,115",43.20%,,,,,,,
3233,NC,North Carolina,13,H2NC13136,,Bernard A. ,Holliday,"Holliday, Bernard A. ",,D  ,"22,703",33.11%,,,,,,,,,,,
3234,NC,North Carolina,13,n/a,,,,,Party Votes:,D,"68,568",,,,,,,,,,,,
3235,NC,North Carolina,13,n/a,,,,,District Votes:,,"154,382",,,,"370,610",,,,,,,,
3236,NC,North Carolina,,n/a,,,,,,,,,,,,,,,,,,,
3237,NC,North Carolina,H,n/a,,,,,Total State Votes:,,"1,278,305",,"75,692",,"4,384,112",,,,,,,,
3238,NC,North Carolina,,n/a,,,,,,,,,,,,,,,,,,,
3239,,,,n/a,,,,,,,,,,,,,,,,,,,
3240,ND,North Dakota,00,H0ND01026,,Kevin,Cramer,"Cramer, Kevin",,R,"54,405",54.44%,,,"173,433",54.87%,,,,,W,,
3241,ND,North Dakota,00,H2ND00099,,Brian P.,Kalk,"Kalk, Brian P.",,R,"45,415",45.45%,,,,,,,,,,,
3242,ND,North Dakota,00,n/a,,,Scattered,Scattered,,W(R),113,0.11%,,,,,,,,,,,
3243,ND,North Dakota,00,n/a,,,,,Party Votes:,R,"99,933",,,,,,,,,,,,
3244,ND,North Dakota,00,H2ND00115,,Pam,Gulleson,"Gulleson, Pam",,DNL,"51,750",99.86%,,,"131,869",41.72%,,,,,,,
3245,ND,North Dakota,00,n/a,,,Scattered,Scattered,,W(DNL),74,0.14%,,,,,,,,,,,
3246,ND,North Dakota,00,n/a,,,,,Party Votes:,DNL,"51,824",,,,,,,,,,,,
3247,ND,North Dakota,00,H2ND00149,,Eric,Olson,"Olson, Eric",,LIB,655,98.50%,,,"10,261",3.25%,,,,,,,
